ID_caso,Numero_SIAF,Numero_Orden_Compra_SIGES,Tipo_tramite,N_observaciones,N_rechazos_formales,Motivo_principal_observacion_o_rechazo,Fuente_datos,Observaciones_registro
LB-01,SIAF-44-2026,224949,Servicio,3,0,Redaccion/justificacion SIAF,OC SIGES + expediente fisico (muestra Mar-May 2026),Palabras/descripcion SIAF
LB-02,SIAF-64-2026,228457,Servicio,3,0,Redaccion/justificacion SIAF,OC SIGES + expediente fisico (muestra Mar-May 2026),Servicio: redaccion objetada
LB-03,SIAF-60-2026,216400,Insumos,1,0,Documento/anexo,OC SIGES + expediente fisico (muestra Mar-May 2026),Cotizacion; mismo mes
LB-04,SIAF-76-2026,218719,Servicio,4,1,Redaccion/justificacion SIAF,OC SIGES + expediente fisico (muestra Mar-May 2026),Servicio; paso a abril
LB-05,SIAF-17-2026,226478,Insumos,1,0,Documento/anexo,OC SIGES + expediente fisico (muestra Mar-May 2026),Correccion menor; mismo mes
LB-06,SIAF-43-2026,217790,Servicio,4,1,No se corrigio a tiempo / descripcion no conforme,OC SIGES + expediente fisico (muestra Mar-May 2026),Rechazo; reingreso en mayo
LB-07,SIAF-89-2026,226006,Servicio,3,0,Redaccion/justificacion SIAF,OC SIGES + expediente fisico (muestra Mar-May 2026),Descripcion SIAF ajustada
LB-08,SIAF-75-2026,211599,Servicio,5,1,No se corrigio a tiempo / descripcion no conforme,OC SIGES + expediente fisico (muestra Mar-May 2026),Mala produccion; pendiente junio
LB-09,SIAF-14-2026,211240,Activo fijo,0,0,N/A,OC SIGES + expediente fisico (muestra Mar-May 2026),Sin observaciones
LB-10,SIAF-81-2026,213642,Servicio,4,0,Redaccion/justificacion SIAF,OC SIGES + expediente fisico (muestra Mar-May 2026),Varias vueltas; paso a junio
LB-11,SIAF-86-2026,227073,Insumos,2,0,Documento/anexo,OC SIGES + expediente fisico (muestra Mar-May 2026),Falta anexo; mismo mes
LB-12,SIAF-83-2026,213258,Activo fijo,0,0,N/A,OC SIGES + expediente fisico (muestra Mar-May 2026),Aprobado primer analisis
LB-13,SIAF-16-2026,220789,Activo fijo,0,0,N/A,OC SIGES + expediente fisico (muestra Mar-May 2026),Aprobado primer analisis
LB-14,SIAF-59-2026,220082,Servicio,3,0,Redaccion/justificacion SIAF,OC SIGES + expediente fisico (muestra Mar-May 2026),Justificacion reelaborada
LB-15,SIAF-28-2026,227374,Insumos,2,0,Documento/anexo,OC SIGES + expediente fisico (muestra Mar-May 2026),Soporte incompleto
LB-16,SIAF-65-2026,210874,Insumos,0,0,N/A,OC SIGES + expediente fisico (muestra Mar-May 2026),Sin devoluciones
LB-17,SIAF-23-2026,216669,Insumos,0,0,N/A,OC SIGES + expediente fisico (muestra Mar-May 2026),Sin devoluciones
LB-18,SIAF-61-2026,213001,Insumos,0,0,N/A,OC SIGES + expediente fisico (muestra Mar-May 2026),Sin observaciones
LB-19,SIAF-25-2026,220077,Servicio,3,0,Redaccion/justificacion SIAF,OC SIGES + expediente fisico (muestra Mar-May 2026),Servicio: ajuste justificacion
LB-20,SIAF-52-2026,221606,Insumos,2,0,Documento/anexo,OC SIGES + expediente fisico (muestra Mar-May 2026),Documento de soporte
LB-21,SIAF-92-2026,223400,Insumos,0,0,N/A,OC SIGES + expediente fisico (muestra Mar-May 2026),Sin observaciones
LB-22,SIAF-68-2026,225406,Insumos,1,0,Documento/anexo,OC SIGES + expediente fisico (muestra Mar-May 2026),Anexo; mismo mes
LB-23,SIAF-50-2026,211053,Activo fijo,2,0,Documento/anexo,OC SIGES + expediente fisico (muestra Mar-May 2026),Especificacion incompleta
LB-24,SIAF-79-2026,220441,Servicio,3,0,Redaccion/justificacion SIAF,OC SIGES + expediente fisico (muestra Mar-May 2026),Servicio: justificacion SIAF
LB-25,SIAF-29-2026,221554,Insumos,1,0,Documento/anexo,OC SIGES + expediente fisico (muestra Mar-May 2026),Observacion menor; mismo mes
